Time,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay
1729951380.77,-0.8731706442825152,-1.5276088336567535,0.0,-0.36999819431890774,-0.9515350591678995,-0.6713105473845183,0.0,-0.8554466978806964,-0.9936026255627967,-0.21876510250755454,0.0,-1.263778351230601,-1.935554186909728,1.2765731359991503,0.0,1.0944274706351718
1729951380.87,0.9983920148422105,-0.4014913373079885,0.0,-0.6721553649571952,-0.9515350591678995,-0.570257390546896,0.0,-0.6415730850639868,1.0003524735663654,-0.061374982297930515,0.0,-1.0752600967170192,0.0007768630090009524,1.2224383018255667,0.0,-0.9344246136146379
1729951380.97,-1.1227123321658112,-1.048542274436561,0.0,-0.35263283968452347,0.9524899362970166,-0.3917301468004294,0.0,-1.0228260470415995,1.0003524735663654,0.3865815136833064,0.0,-1.2024323744419034,0.0007768630090009524,1.6948877637041095,0.0,-0.6752498962653608
1729951381.07,1.1231628587838562,-0.345496544671862,0.0,-0.42209425822206076,0.9524899362970166,0.07985125177514081,0.0,-0.9149593553601286,-0.9936026255627967,1.0221954606837105,0.0,-1.1490131249910713,0.0007768630090009524,1.793314734928806,0.0,-0.9911190830347923
1729951381.17,-0.9979414882241654,-0.9365526891643078,0.0,-0.5888016627121503,-0.9515350591678995,-0.01783346650122709,0.0,-0.6043776741393417,-0.9936026255627967,0.6892548217787372,0.0,-1.0959385158592767,0.0007768630090009524,0.6417191715998589,0.0,-1.0660367747685677
1729951381.27,0.9983920148422105,-0.6939085877410929,0.0,-0.0817333073881278,0.9524899362970166,-1.018259719193688,0.0,-0.851727156788232,1.0003524735663654,-0.043214583812204665,0.0,-1.2579194658069612,-1.935554186909728,0.8139663712430771,0.0,-0.8331844896500765
1729951381.37,-0.9979414882241654,-0.12151737412735598,0.0,-0.6929937905184564,-0.9515350591678995,-1.075523174735007,0.0,-0.5932190508619481,-0.9936026255627967,-0.49117107979344227,0.0,-1.2341392837933651,1.93710791292773,-0.3819213291369834,0.0,-0.7278947607269328
1729951381.47,0.9983920148422105,-0.3143883265406806,0.0,-0.13035630036440413,0.9524899362970166,-0.38162483111666756,0.0,-0.8796237149817159,1.0003524735663654,0.5621320323786563,0.0,-1.2186304694366719,0.0007768630090009524,-0.4409775118718013,0.0,-0.7461179830405538
1729951381.57,-0.9979414882241654,-0.1464039486323011,0.0,-0.38389047802641524,-0.9515350591678995,0.8310130509347999,0.0,-0.6694696432574707,-0.9936026255627967,2.275262956198793,0.0,-1.2034662953990163,1.93710791292773,0.5482135489363967,0.0,-0.9141765888217257
1729951381.67,0.9983920148422105,-1.11698035432516,0.0,-0.3040098467082473,0.9524899362970166,0.7063808241683986,0.0,-0.5764811159458578,1.0003524735663654,1.0221954606837105,0.0,-1.0959385158592767,0.0007768630090009524,-0.5738539230251409,0.0,-0.9040525764252694
