Time,label
1729949588.4,False
1729949588.5,False
1729949588.6,False
1729949588.7,False
1729949588.8,False
1729949588.9,False
1729949589.0,False
1729949589.1,False
1729949589.2,False
1729949589.3,False
1729949589.4,False
1729949589.5,False
1729949589.6,False
1729949589.7,False
1729949589.8,False
1729949589.9,False
1729949590.0,False
1729949590.1,False
1729949590.2,False
1729949590.3,False
1729949590.4,False
1729949590.5,False
1729949590.6,False
1729949590.7,False
1729949590.8,False
1729949590.9,False
1729949591.0,False
1729949591.1,False
1729949591.2,False
1729949591.3,False
1729949591.4,False
1729949591.5,False
1729949591.6,False
1729949591.7,False
1729949591.8,False
1729949591.9,False
1729949592.0,False
1729949592.1,False
1729949592.2,False
1729949592.3,False
1729949592.4,False
1729949592.5,False
1729949592.6,False
1729949592.7,False
1729949592.8,False
1729949592.9,False
1729949593.0,False
1729949593.1,False
1729949593.2,False
1729949593.3,False
1729949593.4,False
1729949593.5,False
1729949593.6,False
1729949593.7,False
1729949593.8,False
1729949593.9,False
1729949594.0,False
1729949594.1,False
1729949594.2,False
1729949594.3,False
1729949594.4,False
1729949594.5,False
1729949594.6,False
1729949594.7,False
1729949594.8,False
1729949594.9,False
1729949595.0,False
1729949595.1,False
1729949595.2,False
1729949595.3,False
1729949595.4,False
1729949595.5,False
1729949595.6,False
1729949595.7,False
1729949595.8,False
1729949595.9,False
1729949596.0,False
1729949596.1,False
1729949596.2,False
1729949596.3,False
1729949596.4,False
1729949596.5,False
1729949596.6,False
1729949596.7,False
1729949596.8,False
1729949596.9,False
1729949597.0,False
1729949597.1,False
1729949597.2,False
1729949597.3,False
1729949597.4,False
1729949597.5,False
1729949597.6,False
1729949597.7,False
1729949597.8,False
1729949597.9,False
1729949598.0,False
1729949598.1,False
1729949598.2,False
1729949598.3,False
1729949598.4,False
1729949598.5,False
1729949598.6,False
1729949598.7,False
1729949598.8,False
1729949598.9,False
1729949599.0,False
1729949599.1,False
1729949599.2,False
1729949599.3,False
1729949599.4,False
1729949599.5,False
1729949599.6,False
1729949599.7,False
1729949599.8,False
1729949599.9,False
1729949600.0,False
1729949600.1,False
1729949600.2,False
1729949600.3,False
1729949600.4,False
1729949600.5,False
1729949600.6,False
1729949600.7,False
1729949600.8,False
1729949600.9,False
1729949601.0,False
1729949601.1,False
1729949601.2,False
1729949601.3,False
1729949601.4,False
1729949601.5,False
1729949601.6,False
1729949601.7,False
1729949601.8,False
1729949601.9,False
1729949602.0,False
1729949602.1,False
1729949602.2,False
1729949602.3,False
1729949602.4,False
1729949602.5,True
1729949602.6,True
1729949602.7,True
1729949602.8,True
1729949602.9,True
1729949603.0,True
1729949603.1,True
1729949603.2,True
1729949603.3,True
1729949603.4,True
1729949603.5,True
1729949603.6,True
1729949603.7,True
1729949603.8,True
1729949603.9,True
1729949604.0,True
1729949604.1,True
1729949604.2,True
1729949604.3,True
1729949604.4,True
1729949604.5,True
1729949604.6,True
1729949604.7,True
1729949604.8,True
1729949604.9,True
1729949605.0,True
1729949605.1,True
1729949605.2,True
1729949605.3,True
1729949605.4,True
1729949605.5,True
1729949605.6,True
1729949605.7,True
1729949605.8,True
1729949605.9,True
1729949606.0,True
1729949606.1,True
1729949606.2,True
1729949606.3,True
1729949606.4,False
1729949606.5,False
1729949606.6,False
1729949606.7,False
1729949606.8,False
1729949606.9,False
1729949607.0,False
1729949607.1,False
1729949607.2,False
1729949607.3,False
1729949607.4,False
1729949607.5,False
1729949607.6,False
1729949607.7,False
1729949607.8,False
1729949607.9,False
1729949608.0,False
1729949608.1,False
1729949608.2,False
1729949608.3,False
1729949608.4,False
1729949608.5,False
1729949608.6,False
1729949608.7,False
1729949608.8,False
1729949608.9,False
1729949609.0,False
1729949609.1,False
1729949609.2,False
1729949609.3,True
1729949609.4,True
1729949609.5,True
1729949609.6,True
1729949609.7,True
1729949609.8,True
1729949609.9,True
1729949610.0,True
1729949610.1,True
1729949610.2,True
1729949610.3,True
1729949610.4,True
1729949610.5,True
1729949610.6,True
1729949610.7,True
1729949610.8,True
1729949610.9,True
1729949611.0,True
1729949611.1,True
1729949611.2,True
1729949611.3,True
1729949611.4,True
1729949611.5,True
1729949611.6,True
1729949611.7,True
1729949611.8,True
1729949611.9,True
1729949612.0,True
1729949612.1,True
1729949612.2,True
1729949612.3,True
1729949612.4,True
1729949612.5,True
1729949612.6,True
1729949612.7,True
1729949612.8,True
1729949612.9,False
1729949613.0,False
1729949613.1,False
1729949613.2,False
1729949613.3,False
1729949613.4,False
1729949613.5,False
1729949613.6,False
1729949613.7,False
1729949613.8,False
1729949613.9,False
1729949614.0,False
1729949614.1,False
1729949614.2,False
1729949614.3,False
1729949614.4,False
1729949614.5,False
1729949614.6,False
1729949614.7,False
1729949614.8,False
1729949614.9,True
1729949615.0,True
1729949615.1,True
1729949615.2,True
1729949615.3,True
1729949615.4,True
1729949615.5,True
1729949615.6,True
1729949615.7,True
1729949615.8,True
1729949615.9,True
1729949616.0,True
1729949616.1,True
1729949616.2,True
1729949616.3,True
1729949616.4,True
1729949616.5,True
1729949616.6,True
1729949616.7,True
1729949616.8,True
1729949616.9,True
1729949617.0,True
1729949617.1,True
1729949617.2,True
1729949617.3,True
1729949617.4,True
1729949617.5,True
1729949617.6,True
1729949617.7,True
1729949617.8,True
1729949617.9,True
1729949618.0,True
1729949618.1,True
1729949618.2,True
1729949618.3,True
1729949618.4,True
1729949618.5,False
1729949618.6,False
1729949618.7,False
1729949618.8,False
1729949618.9,False
1729949619.0,False
1729949619.1,False
1729949619.2,False
1729949619.3,False
1729949619.4,False
1729949619.5,False
1729949619.6,False
1729949619.7,False
1729949619.8,False
1729949619.9,False
1729949620.0,False
1729949620.1,False
1729949620.2,False
1729949620.3,False
1729949620.4,False
1729949620.5,False
1729949620.6,False
1729949620.7,False
1729949620.8,False
1729949620.9,False
1729949621.0,False
1729949621.1,False
1729949621.2,False
1729949621.3,False
1729949621.4,False
1729949621.5,False
1729949621.6,False
1729949621.7,False
1729949621.8,False
1729949621.9,False
1729949622.0,False
1729949622.1,False
1729949622.2,False
1729949622.3,False
1729949622.4,False
1729949622.5,False
1729949622.6,False
1729949622.7,False
1729949622.8,False
1729949622.9,False
1729949623.0,False
1729949623.1,False
1729949623.2,False
1729949623.3,False
1729949623.4,False
1729949623.5,False
1729949623.6,False
1729949623.7,False
1729949623.8,False
1729949623.9,False
1729949624.0,False
1729949624.1,False
1729949624.2,False
1729949624.3,False
1729949624.4,False
1729949624.5,False
1729949624.6,False
1729949624.7,False
1729949624.8,False
1729949624.9,False
1729949625.0,False
1729949625.1,False
1729949625.2,False
1729949625.3,False
1729949625.4,False
1729949625.5,False
1729949625.6,False
1729949625.7,False
1729949625.8,False
1729949625.9,False
1729949626.0,False
1729949626.1,False
1729949626.2,False
1729949626.3,False
1729949626.4,False
1729949626.5,False
1729949626.6,False
1729949626.7,False
1729949626.8,False
1729949626.9,False
1729949627.0,False
1729949627.1,False
1729949627.2,False
1729949627.3,False
1729949627.4,False
1729949627.5,False
1729949627.6,False
1729949627.7,False
1729949627.8,False
1729949627.9,False
1729949628.0,False
1729949628.1,False
1729949628.2,False
1729949628.3,False
1729949628.4,False
1729949628.5,False
1729949628.6,False
1729949628.7,False
1729949628.8,False
1729949628.9,False
1729949629.0,False
1729949629.1,False
1729949629.2,False
1729949629.3,False
1729949629.4,False
1729949629.5,False
1729949629.6,False
1729949629.7,False
1729949629.8,False
1729949629.9,False
1729949630.0,False
1729949630.1,False
1729949630.2,False
1729949630.3,False
1729949630.4,False
1729949630.5,False
1729949630.6,False
1729949630.7,False
1729949630.8,False
1729949630.9,False
1729949631.0,False
1729949631.1,False
1729949631.2,False
1729949631.3,False
1729949631.4,False
1729949631.5,False
1729949631.6,False
1729949631.7,False
1729949631.8,False
1729949631.9,False
1729949632.0,False
1729949632.1,False
1729949632.2,False
1729949632.3,False
1729949632.4,False
1729949632.5,False
1729949632.6,False
1729949632.7,False
1729949632.8,False
1729949632.9,False
1729949633.0,False
1729949633.1,False
1729949633.2,False
1729949633.3,False
1729949633.4,False
1729949633.5,False
1729949633.6,False
1729949633.7,False
1729949633.8,False
1729949633.9,False
1729949634.0,False
1729949634.1,False
1729949634.2,False
1729949634.3,False
1729949634.4,False
1729949634.5,False
