Time,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay
1729951380.77,-0.9656360838021067,-1.1534523167575519,0.0,-0.23938709468923713,-1.247199353500765,0.05044242838872969,0.0,-0.7898326969159708,0.002020079908814355,0.04118609464349059,0.0,-0.9567465858520253,-0.9968184796598003,-0.06144274280340252,0.0,0.6558614564266971
1729951380.87,-0.9656360838021067,-1.0434726703937576,0.0,-0.7073853279060273,1.2501550989911754,-0.3268769122731538,0.0,-0.9160781100419215,-2.461612542829081,-0.017668733450057626,0.0,-0.6076631128672791,0.9967185028803396,-0.41145634199063713,0.0,1.2598014608575114
1729951380.97,0.9701989849169415,-0.5760591733476326,0.0,-0.23938709468923713,-0.9974639082515718,0.2793082579705279,0.0,-1.1825962044189282,0.017417783800925877,-0.04789148301160968,0.0,-0.21030213829953612,0.9967185028803396,-1.0813099542282751,0.0,1.8078857423351868
1729951381.07,0.9701989849169415,-0.28147083487318414,0.0,-0.2796656311546166,1.0004196537419823,0.2793082579705279,0.0,-1.2772802642633911,-0.013377623983297164,-0.7175639864544161,0.0,-0.45354647319848157,-0.9968184796598003,-0.9847544785904173,0.0,-1.1762062564362583
1729951381.17,-0.9656360838021067,0.26842739694578704,0.0,-0.25281327351103017,-0.9974639082515718,-0.8897631417851433,0.0,-1.3358441086857071,0.002020079908814355,-1.1581798616412509,0.0,-0.05432867164677719,0.9967185028803396,-0.3088661491254132,0.0,-1.1175577473354625
1729951381.27,-0.9656360838021067,-0.1950582555873458,0.0,-0.030322310178457754,1.0004196537419823,1.157658198527698,0.0,-0.7161895392591664,-0.028775327875408686,-1.7069613668378505,0.0,-0.34770733511268076,-0.9968184796598003,-0.3088661491254132,0.0,-1.0163192494828985
1729951381.37,0.9701989849169415,0.22522110730286743,0.0,-0.561615386412273,-0.9974639082515718,1.4050807169945068,0.0,-1.059857608324254,0.032815487693037396,-1.8183083389067254,0.0,0.17591787436443862,0.9967185028803396,-0.2304148251696537,0.0,-0.7894053749857716
1729951381.47,0.9701989849169415,0.013117503601264265,0.0,-0.014978105810694127,-0.9974639082515718,1.1019881318726665,0.0,-1.059857608324254,0.002020079908814355,-1.6449251966851912,0.0,0.5008625965576864,-0.9968184796598003,-0.5381854037653249,0.0,-1.0721749724360372
1729951381.57,-1.0866257755970445,-0.26183161230822044,0.0,-0.7150574300899091,1.0004196537419823,0.693740976402432,0.0,-1.1001860041839326,0.002020079908814355,-1.352241727247005,0.0,0.5937039457557572,0.9967185028803396,-0.5442201209926909,0.0,-0.8103512710931987
1729951381.67,-0.8446463920071646,-0.18327472204836742,0.0,-0.2681574778787938,1.0004196537419823,-0.04852657899799385,0.0,-1.1405144000436114,0.002020079908814355,-1.1995373084096903,0.0,0.6865452949538281,-0.9968184796598003,0.02907801560708852,0.0,-0.26575797230009446
