Time,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay
1729950879.56,1.0002148454092672,-0.41165824565584713,0.0,-1.0204983052405994,0.0018200021315889728,0.0426855944833715,0.0,-1.072470682600652,0.9646953718911683,-0.3843836378490489,0.0,-0.6739434448726278,0.0014474062620370264,-1.6445178424003968,0.0,-0.9290440971961388
1729950879.66,-1.000465682988055,-0.34376153502303347,0.0,-1.198375992888019,0.0018200021315889728,0.18979244632628156,0.0,-0.9045062357305306,-0.960640001495872,0.15267379446910123,0.0,-0.83526351418705,0.0014474062620370264,-1.2397580271051925,0.0,0.06376768888103719
1729950879.76,-1.000465682988055,-1.9547653054925194,0.0,-1.3762536805354388,0.0018200021315889728,0.346390062804217,0.0,-1.0792800520683596,-0.960640001495872,0.44463119056151823,0.0,-0.8083768359679796,0.0014474062620370264,-0.6189112984651387,0.0,-0.6861673941643831
1729950879.86,1.0002148454092672,-0.5844862363575539,0.0,-1.3285116171841833,0.0018200021315889728,0.6073860902674442,0.0,-0.7433511583281166,0.9646953718911683,0.2644105756896564,0.0,-0.9226452183990287,0.0014474062620370264,-1.1123635035660646,0.0,-0.9034781284559538
1729950879.96,-1.000465682988055,-1.720213032397345,0.0,-1.3793338136548747,0.0018200021315889728,0.14233862315114945,0.0,-0.7115741008121477,-0.960640001495872,0.7257753497616238,0.0,-0.344581636689016,0.0014474062620370264,-1.4493945848278085,0.0,-0.56259854525349
1729950880.06,1.0002148454092672,-2.109076011476186,0.0,-1.103661899465367,0.0018200021315889728,-0.227801197614881,0.0,-0.8046354835374853,0.9646953718911683,-1.3539705458596685,0.0,-0.7949334968584445,0.0014474062620370264,-1.7477235323561462,0.0,-0.29522112217905744
1729950880.16,1.0002148454092672,-2.146110580912266,0.0,-0.8279899852758593,0.0018200021315889728,0.412825415249402,0.0,-0.5867356605708411,-0.960640001495872,0.3112679355563403,0.0,-0.7321979143472803,0.0014474062620370264,-1.8396410999729853,0.0,-0.02784369910462491
1729950880.26,-1.000465682988055,-2.7571809766075885,0.0,-1.4047449118902204,0.0018200021315889728,0.08539403534099092,0.0,-1.0338842556169756,-0.960640001495872,-0.5646042527209114,0.0,-0.35578441928029525,0.0014474062620370264,-1.7219221098672088,0.0,-0.6669929176092446
1729950880.36,1.0002148454092672,-2.294248858656587,0.0,-0.6932341613005413,1.5970218704331114,-0.23729196224990742,0.0,-0.672987673828471,0.9646953718911683,-1.0511999128749392,0.0,0.08784577133436557,0.0014474062620370264,-1.6541933758337484,0.0,-0.952479568541308
1729950880.46,-1.000465682988055,-1.8374891689449322,0.0,0.4387147600921299,0.0018200021315889728,-0.5504871952057794,0.0,-0.8046354835374853,0.9646953718911683,-1.343157308967357,0.0,-0.41627944527320365,0.0014474062620370264,-1.2994238166108603,0.0,-0.8118667404702917
